2026-01-04 12:23:00,Happy
2026-01-04 12:26:18,Fear,test_fear.wav
2026-01-04 12:26:44,Happy,test_happy.wav
2026-01-04 17:56:30,Fear,test_fear.wav
2026-01-04 20:27:33,Happy,test_happy.wav
2026-01-04 20:30:52,Fear,test_fear.wav
2026-01-04 21:37:37,Happy,test_happy.wav
2026-01-05 08:02:39,Fear,test_fear.wav
2026-01-05 09:14:54,Neutral,tes_neutral.wav
2026-01-05 09:29:28,Neutral,tes_neutral.wav
2026-01-05 09:34:02,Happy,test_happy.wav
2026-01-05 13:46:12,Neutral,tes_neutral.wav
2026-01-30 15:09:21,Fear,test_fear.wav
2026-02-03 19:03:12,Happy,test_happy.wav
2026-02-04 15:54:36,Disgust,test_fear.wav
2026-02-04 15:59:44,Happy,test_happy.wav
2026-02-04 16:00:18,Fear,test_fear.wav
2026-02-04 18:15:10,Happy,test_happy.wav
2026-02-04 18:27:44,Disgust,test_fear.wav
2026-02-04 19:26:14,Happy,test_happy.wav
2026-02-05 13:05:10,Disgust,test_fear.wav
2026-02-09 20:59:25,Happy,test_happy.wav
2026-02-09 21:00:15,Disgust,test_fear.wav
2026-02-09 21:01:54,Neutral,tes_neutral.wav
2026-02-09 21:04:14,Sad,test_sad.wav
2026-02-09 21:06:24,Happy,test_surprise.wav
